,Company_Name,Dependent-Company Status,year of founding,Age of company in years,Internet Activity Score,Short Description of company profile,Industry of company,Focus functions of company,Investors,Employee Count,Employees count MoM change,Has the team size grown,Est. Founding Date,Last Funding Date,Last Funding Amount,Country of company,Continent of company,Number of Investors in Seed,Number of Investors in Angel and or VC,Number of Co-founders,Number of of advisors,Team size Senior leadership,Team size all employees,Presence of a top angel or venture fund in previous round of investment,Number of of repeat investors,Number of  Sales Support material,Worked in top companies,Average size of companies worked for in the past,Have been part of startups in the past?,Have been part of successful startups in the past?,Was he or she partner in Big 5 consulting?,Consulting experience?,Product or service company?,Catering to product/service across verticals,Focus on private or public data?,Focus on consumer data?,Focus on structured or unstructured data,Subscription based business,Cloud or platform based serive/product?,Local or global player,Linear or Non-linear business model,"Capital intensive business e.g. e-commerce, Engineering products and operations can also cause a business to be capital intensive",Number of  of Partners of company,Crowdsourcing based business,Crowdfunding based business,Machine Learning based business,Predictive Analytics business,Speech analytics business,Prescriptive analytics business,Big Data Business,Cross-Channel Analytics/ marketing channels,Owns data or not? (monetization of data) e.g. Factual,Is the company an aggregator/market place? e.g. Bluekai,Online or offline venture - physical location based business or online venture?,B2C or B2B venture?,Top forums like 'Tech crunch' or 'Venture beat' talking about the company/model - How much is it being talked about?,Average Years of experience for founder and co founder,Exposure across the globe,Breadth of experience across verticals,Highest education,Years of education,Specialization of highest education,Relevance of education to venture,Relevance of experience to venture,Degree from a Tier 1 or Tier 2 university?,Renowned in professional circle,Experience in selling and building products,Experience in Fortune 100 organizations,Experience in Fortune 500 organizations,Experience in Fortune 1000 organizations,Top management similarity,Number of Recognitions for Founders and Co-founders,Number of  of Research publications,Skills score,Team Composition score,Dificulty of Obtaining Work force,Pricing Strategy,Hyper localisation,Time to market service or product,Employee benefits and salary structures,Long term relationship with other founders,Proprietary or patent position (competitive position),Barriers of entry for the competitors,Company awards,Controversial history of founder or co founder,Legal risk and intellectual property,Client Reputation,google page rank of company website,Technical proficiencies to analyse and interpret unstructured data,Solutions offered,Invested through global incubation competitions?,Industry trend in investing,Disruptiveness of technology,Number of Direct competitors,Employees per year of company existence,Last round of funding received (in milionUSD),"Survival through recession, based on existence of the company through recession times",Time to 1st investment (in months),"Avg time to investment - average across all rounds, measured from previous investment",Gartner hype cycle stage,Time to maturity of technology (in years),Percent_skill_Entrepreneurship,Percent_skill_Operations,Percent_skill_Engineering,Percent_skill_Marketing,Percent_skill_Leadership,Percent_skill_Data Science,Percent_skill_Business Strategy,Percent_skill_Product Management,Percent_skill_Sales,Percent_skill_Domain,Percent_skill_Law,Percent_skill_Consulting,Percent_skill_Finance,Percent_skill_Investment,Renown score
225,Company226,Success,2010,4,-29,Business Intelligence and Analytics,Analytics|E-Commerce,sales,Lightspeed Venture Partners|Kleiner Perkins Caufield & Byers,10,-17,No,7/1/2010,5/17/2013,11000000,United States,North America,0,0,2,3,4,10,Yes,1,low,Yes,Small,No,No,No,Yes,Product,Yes,Private,Yes,Structured,Yes,Cloud,Local,Non-Linear,No,None,No,No,No,Yes,No,Yes,No,Yes,No,No,Online,B2B,Low,High,Yes,Medium,Bachelors,18,engg,Yes,Yes,Tier_1,500,Medium,0,1,0,High,233,Few,38,Low,Low,No,Yes,Low,Bad,Yes,No,Yes,Yes,No,No,Low,No Info,Yes,No,No,3,Medium,2,3.3,11,Not Applicable,8,6,Trigger,2 to 5,6.25,0,18.75,0,0,6.25,6.25,0,6.25,6.25,0,0,0,0,1
226,Company227,Failed,2008,6,0,Golf improvement analytics,Mobile,Operations,Maine Technology Institute|Libra Future Fund|TechStars,0,-100,No,8/1/2008,12/4/2009,150000,United States,North America,7,1,2,1,2,6,Yes,3,low,No,Small,Yes,Yes,No,No,Product,Yes,Private,Yes,Unstructured,Yes,Platform,Local,Non-Linear,No,None,No,No,Yes,No,No,Yes,No,No,No,No,Online,B2B,Medium,High,Yes,Low,Bachelors,18,economics,Yes,Yes,None,500,Medium,0,0,0,None,86,None,10,Low,Medium,No,No,Low,Average,No,Yes,No,Yes,No,Yes,No Info,898999,No,No,Yes,2,Medium,3,1.2,0.15,No,12,14,Plateau,0 to 2,0,6.666666667,86.66666667,0,0,0,6.666666667,0,0,0,0,0,0,0,1
229,Company230,Success,2012,2,63,"Save Time, Gain Insight, Take Action",Analytics|Enterprise Software,Marketing,ICG Ventures|Middleland Capital|Fortify Ventures,4,1,No,1/1/2012,2/26/2013,600000,United States,North America,3,0,2,0,3,6,No,0,low,No,Medium,Yes,Yes,No,No,Service,Yes,Both,No,Both,Yes,Platform,Global,Non-Linear,No,None,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No Info,B2B,Low,High,Yes,Medium,Masters,21,law,No,Yes,None,500,Medium,0,0,0,None,0,None,25,Low,Low,Yes,No,Low,No Info,No,No,No,No,No,No,No Info,3743293,No,Yes,No,4,High,0,6,0.6,Not Applicable,12,12,Trough,2 to 5,16.66666667,0,0,0,11.11111111,5.555555556,27.77777778,0,5.555555556,5.555555556,11.11111111,0,11.11111111,5.555555556,1
230,Company231,Success,2012,2,1193,Pinterest Analytics and Marketing,Analytics|Marketing,Marketing,i2E|SeedStep Angels group,13,8,No,2/1/2012,11/6/2013,1000000,United States,North America,2,0,2,0,2,15,No,0,high,No,Large,Yes,Yes,Yes,Yes,Service,Yes,Private,No,Structured,Yes,Platform,Global,Non-Linear,No,None,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Online,B2B,Medium,Medium,No,Low,Bachelors,18,"Finance, Management",No,No,Tier_1,500,Low,0,1,1,Low,240,Few,37,Low,Low,Yes,Yes,Low,No Info,No,No,No,No,No,No,High,14785,Yes,Yes,No,2,Low,2,15,1,Not Applicable,20,20,Plateau,2 to 5,16.66666667,5.555555556,0,33.33333333,0,5.555555556,27.77777778,0,5.555555556,5.555555556,0,0,0,0,4
231,Company232,Success,2011,3,207,time-series database service,Network / Hosting / Infrastructure|Analytics,Database Management,TechStars|Hyde Park Venture Partners|Chicago Ventures|Divergent Ventures|John Ives|Data Collective|Lew Moorman|John Engates|Jason Seats,13,-7,No,11/1/2011,10/9/2013,3200000,United States,North America,6,0,3,2,3,18,Yes,1,high,No,Small,Yes,No,No,No,Both,Yes,Private,Yes,Structured,Yes,Cloud,Global,Linear,Yes,None,No,No,No,No,No,No,Yes,No,No,Yes,Online,B2B,Medium,Medium,No,Low,Bachelors,18,Computer Science,Yes,Yes,None,500,Low,1,1,1,Medium,62,Many,10,Medium,Low,Yes,No,Medium,No Info,Yes,Yes,No,Yes,No,No,High,751103,No,No,Yes,3,Medium,0,9,3.2,Not Applicable,2,7.188888889,Peak,2 to 5,8.333333333,3.703703704,15.74074074,7.407407407,0,3.703703704,12.03703704,15.74074074,0,0,0,0,0,0,1
234,Company235,Success,2008,6,-96,Social Media Management  System (SMMS),E-Commerce|Publishing|Marketing,marketing,Flybridge Capital Partners|Revel Partners,52,2,yes,7/1/2008,3/8/2013,3500000,United States,North America,0,0,5,5,10,55,Yes,2,high,No,Large,No,No,Yes,Yes,Service,Yes,Private,No,Structured,Yes,Cloud,Global,Non-Linear,No,None,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Online,B2B,Low,High,Yes,Medium,Masters,21,MBA,Yes,Yes,None,500,High,0,0,0,High,135,Few,50,High,Medium,Yes,No,Medium,No Info,Yes,Yes,No,Yes,No,No,High,333844,No,No,No,2,High,1,11,3.5,Yes,45,6.433333333,Trigger,5 to 10,5.555555556,0,50,8.333333333,2.777777778,2.777777778,19.44444444,2.777777778,8.333333333,0,0,0,0,0,6
238,Company239,Success,2012,2,40,Big data analytics with ttwick search,E-Commerce|Market Research|Analytics|Deals|Finance,Marketing,Jacob Perkins|Dan Casey,5,0,yes,1/1/2012,5/3/2013,455000,United States,North America,2,0,2,0,2,6,No,0,Nothing,No,Large,No,No,Yes,No,Both,Yes,Public,Yes,Both,Yes,Platform,Global,Non-Linear,No,None,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Online,B2B,Low,High,No,Medium,Masters,21,MBA,Yes,Yes,None,500,High,0,1,1,Low,68,Many,30,Low,Low,No,No,Low,No Info,No,Yes,No,No,No,No,Medium,8334266,No,No,No,2,Medium,0,6,0.455,Not Applicable,16,16,Peak,2 to 5,0,5.882352941,17.64705882,0,0,35.29411765,0,0,0,0,0,0,41.17647059,0,5
239,Company240,Success,2011,3,603,data visualization ,Marketing,"Data Visualization, Content Marketing, Presentations",Crosslink Capital|SoftTech VC|500 Startups|Kapor Capital|Giza Venture Capital|Endeavor Partners|Naval Ravikant|Mark Goines|Josh James|Anthemis Group|Ecosystem Ventures|Paige Craig|Streamlined Ventures|Correlation Ventures|Quest Venture Partners,95,3,Yes,1/1/2011,1/14/2014,8100000,United States,North America,0,0,4,8,8,96,Yes,4,high,No,Medium,Yes,Yes,No,No,Service,Yes,Private,No,Structured,Yes,Cloud,Global,Linear,Yes,None,Yes,No,No,No,No,No,Yes,No,No,No,Online,B2C,Medium,Medium,No,Low,Bachelors,18,Arts,No,No,Tier_2,500,Medium,0,0,1,Low,82,Few,16,High,High,Yes,No,Medium,No Info,No,Yes,No,Yes,No,No,High,2725,Yes,Yes,Yes,4,High,0,48,8.1,Not Applicable,10,9.077777778,Peak,2 to 5,8.465608466,4.603174603,11.37566138,56.4021164,0,6.613756614,0,4.232804233,1.851851852,6.455026455,0,0,0,0,5
242,Company243,Success,2009,5,73,Open-Source DBMS,Network / Hosting / Infrastructure|Enterprise Software,analytics,Sigma Prime Ventures|Kepha Partners|Sigma Partners,31,7,yes,4/1/2009,3/14/2014,8000000,United States,North America,0,0,2,0,3,36,No,2,high,No,Medium,Yes,Yes,No,Yes,Product,No,Both,No,Structured,Yes,Platform,global,Linear,Yes,None,No,No,No,No,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,Medium,Bachelors,18,economics,Yes,Yes,Tier_2,500,Medium,0,0,0,High,0,Few,25,Medium,Medium,Yes,No,Medium,No Info,No,No,No,No,No,No,Low,434839,No,Yes,No,4,High,3,9,8,Not Applicable,18,14.26666667,Peak,2 to 5,8.660130719,0,20.09803922,5.882352941,5.555555556,2.941176471,25.98039216,2.941176471,22.22222222,2.777777778,0,0,0,2.941176471,7
247,Company248,Success,2010,4,511,Interactive online video,Advertising|Analytics,analytics,Gerard Govaerts|Fortino,14,40,No,7/15/2010,12/22/2013,3000000,Belgium,Europe,1,0,5,0,8,8,No,0,low,No,Medium,Yes,Yes,No,Yes,Service,No,Both,Yes,Unstructured,Yes,Platform,global,Non-Linear,Yes,None,No,No,No,No,No,No,No,No,No,No,Online,B2B,Low,Medium,No,Medium,Masters,21,technology,Yes,Yes,Tier_2,500,Medium,0,0,0,Medium,8,Few,24,Medium,Medium,No,No,Low,No Info,Yes,No,No,No,No,No,Low,245886,No,No,No,4,Medium,0,2.66,3,Not Applicable,1,1,Slope,2 to 5,7.692307692,7.692307692,61.53846154,7.692307692,0,0,7.692307692,0,7.692307692,0,0,0,0,0,1
249,Company250,Success,2012,2,40,Twitter Monitoring App,Analytics,social branding,SODENA,3,1,No,5/4/2012,11/19/2012,110000,Spain,Europe,1,0,0,1,1,No Info,No Info,0,medium,No,Medium,No,No,No,No,Service,No,Both,Yes,Structured,No,Both,global,Non-Linear,Yes,Few,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Online,B2C,Low,High,Yes,Low,Masters,21,MGMT,No,No,Both,345,High,0,0,1,Medium,8,Many,22,Medium,Low,Yes,No,Low,No Info,No,No,Yes,No,No,Yes,No Info,4386057,Yes,Yes,No,2,Medium,0,No Info,0.11,Not Applicable,7,7,Plateau,0 to 2,6.25,0,0,56.25,6.25,0,0,0,6.25,25,0,0,0,0,0
250,Company251,Success,2012,2,89,Track Competitors on Social Media,Analytics|Marketing,social media,Vendep Oy,11,1,yes,6/1/2012,6/1/2013,600000,Finland,Europe,1,0,2,0,2,10,No Info,0,low,No,Small,Yes,Yes,No,Yes,Service,Yes,Public,Yes,Both,Yes,Both,GLOBAL,Non-Linear,No,None,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Online,B2B,Low,High,Yes,Low,Bachelors,18,MGMT,No,No,Both,500,Low,1,0,0,Medium,0,None,18,Low,Low,No,No,Low,No Info,Yes,No,Yes,No,No,No,Low,1633729,Yes,Yes,No,2,Medium,0,5,0.6,Not Applicable,12,12,Peak,2 to 5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,5
253,Company254,Success,2009,5,-19,Big Data real-time analytics,Cloud Computing|E-Commerce|Analytics,DASHBOARDS,Eden Ventures|Pentech Ventures|Oxford Technology Management|Imperial Innovations,20,1,No,5/1/2009,9/19/2012,3600000,United Kingdom,Europe,3,0,2,0,5,50,No,0,medium,No,Medium,Yes,Yes,No,Yes,Product,No,Both,No,Both,Yes,Both,GLOBAL,Linear,No,Few,No,No,Yes,Yes,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,Low,Bachelors,18,BSC,Yes,Yes,None,146,Medium,1,0,0,None,0,Many,24,Medium,Low,Yes,No,Medium,No Info,No,No,Yes,No,No,No,Low,1725737,Yes,Yes,No,4,Medium,0,12.5,3.6,Not Applicable,4,13.06666667,Trough,2 to 5,5.882352941,0,46.63865546,7.142857143,7.142857143,5.882352941,10.08403361,2.941176471,7.142857143,7.142857143,0,0,0,0,7
262,Company263,Failed,2007,7,-3,Browser-based screencast,E-Commerce,curated web,Reid Hoffman|Caterina Fake|Stewart Butterfield|Bud Colligan|Rajeev Motwani|Kevin Lynch|Joi Ito|First Round Capital,3,1,No,6/1/2007,1/31/2008,1300000,United States,North America,8,0,1,2,1,No Info,Yes,0,low,No,Small,Yes,Yes,No,Yes,Product,No,no,No,no,No,Platform,global,Non-Linear,No,None,No,No,No,No,No,No,No,No,No,No,Online,B2C,Low,High,Yes,Medium,PhD,25,business,Yes,Yes,Tier_1,370,Medium,1,1,1,None,0,None,0,Low,Low,No,No,Low,No Info,No,No,No,No,No,No,No Info,2992604,No,Yes,No,2,Low,0,No Info,1.3,No,8,8,Plateau,0 to 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,Company264,Failed,2007,7,-30,Social search engine,Search|Social Networking,networking,Carmel Ventures|Dotforge,3,1,No,1/1/2007,7/19/2008,1750000,Israel,Asia,0,0,3,0,5,No Info,No,0,Nothing,No,Medium,Yes,Yes,No,Yes,Product,No,no,No,no,No,Platform,local,Non-Linear,Yes,None,No,No,No,No,No,No,No,No,No,Yes,Online,B2C,Medium,High,No,Medium,Bachelors,18,computer sc,Yes,Yes,None,500,None,0,0,0,High,0,None,25,Low,Low,No,No,Low,No Info,Yes,No,Yes,No,No,No,No Info,14553250,No,No,No,2,Low,1,No Info,1.75,No,1,6.9,Plateau,0 to 2,12.96296296,3.703703704,22.22222222,1.851851852,3.703703704,14.81481481,20.37037037,3.703703704,1.851851852,11.11111111,0,0,0,3.703703704,9
264,Company265,Success,2005,9,-207,VOIP phone calls to mobile phones,Telecommunications,wireless,Draper Fisher Jurvetson (DFJ)|Mayfield Fund|Draper Richards|Reid Hoffman|August Capital|Mangrove Capital Partners|Lehman Brothers|Pejman Nozad,9,0,No,10/1/2005,6/23/2008,10000000,United States,North America,0,4,2,1,3,9,No,0,Nothing,No,Small,Yes,Yes,No,Yes,Product,No,no,No,no,Yes,Platform,local,Linear,Yes,None,No,No,No,No,No,No,No,No,No,No,Online,B2C,High,High,Yes,Medium,Bachelors,18,computer sc,Yes,Yes,Tier_1,500,Medium,0,0,0,None,1,None,25,Medium,Low,Yes,No,Low,No Info,No,No,No,No,No,No,No Info,255878,No,No,No,3,Medium,4,1.125,10,Yes,23,3.977777778,Trigger,2 to 5,13.82352941,0,18.82352941,13.82352941,8.382352941,5,22.20588235,7.941176471,5,5,0,0,0,0,6
273,Company274,Failed,2011,3,-243,Online advertising technology,Media|Advertising|E-Commerce,advertising,Seed Capital|Martin Bochineck|Christina Rind Helsbro,2,0,No,10/1/2011,4/1/2012,600000,Denmark,Europe,1,0,4,0,4,10,No Info,0,Nothing,No,Small,Yes,Yes,No,Yes,Service,Yes,no,No,no,No,Platform,Global,Non-Linear,No,None,No,No,No,No,No,No,No,No,No,Yes,Online,B2C,Low,Medium,Yes,Low,Masters,21,economics,Yes,Yes,None,500,Medium,0,0,0,None,1,None,25,Low,Low,No,No,Low,No Info,No,No,No,No,No,No,No Info,No Info,No,Yes,No,3,Medium,6,10,0.6,Not Applicable,7,7,Peak,2 to 5,1.851851852,0,33.33333333,12.96296296,3.703703704,1.851851852,9.259259259,0,1.851851852,1.851851852,0,0,0,0,9
280,Company281,Failed,2010,4,0,Free and low cost Internet calling,Mobile|Telecommunications,operation,Sierra Ventures,0,1,No,2/1/2010,5/10/2011,1500000,United States,North America,1,0,3,0,4,10,No,0,Nothing,No,Small,Yes,Yes,No,Yes,Service,No,no,No,no,Yes,Platform,local,Non-Linear,No,None,No,No,No,No,No,No,No,No,No,No,Online,B2B,Low,High,No,Medium,Bachelors,18,computer sc,Yes,Yes,None,329,Medium,0,0,0,None,0,None,8,Low,Low,No,No,Low,No Info,No,No,Yes,No,No,No,No Info,18372022,No,Yes,No,3,Medium,0,3.3,1.5,Not Applicable,3,3,Slope,2 to 5,11.4379085,0,20.4248366,0,8.333333333,0,28.26797386,5.718954248,5.718954248,14.54248366,0,0,2.777777778,2.777777778,3
282,Company283,Failed,2010,4,170,Kid's online retailer,E-Commerce,sale,Index Ventures|Team Europe|Fabrice Grinda|Jose Marin|James Gutierrez|Embarcadero Ventures,7,17,yes,4/8/2010,3/25/2011,900000,Russian Federation,Europe,0,6,3,0,3,50,Yes,0,Nothing,No,Large,No,No,No,Yes,Service,No,no,No,no,No,Platform,LOCAL,Non-Linear,Yes,None,No,No,No,No,No,No,No,No,No,Yes,Online,B2C,None,Medium,No,Low,Masters,21,mba,Yes,Yes,Tier_1,500,Medium,0,0,0,None,1,None,14,Low,Low,Yes,No,Low,No Info,No,No,Yes,No,No,No,No Info,1912479,No,Yes,No,3,Medium,0,50,0.9,Not Applicable,6,6,Plateau,0 to 2,7.142857143,0,0,0,7.142857143,7.142857143,10.71428571,0,0,3.571428571,0,3.571428571,7.142857143,3.571428571,6
284,Company285,Failed,2008,6,15,Multiplatform Gaming,Gaming|Entertainment,entertainment,Various Private Investors|Inverpyme|Freedom Factory Studios|Grupo Intercom,3,1,yes,1/1/2008,7/10/2010,800000,Spain,Europe,3,2,1,0,3,50,No Info,1,Nothing,No,Medium,Yes,Yes,No,No,Service,No,no,No,no,No,Platform,Global,Non-Linear,No,None,No,No,No,No,No,No,No,No,No,No,Online,B2C,Low,High,No,Low,Bachelors,18,mangement,Yes,Yes,None,500,Medium,0,0,0,None,0,None,6,Low,Low,Yes,No,Low,No Info,No,No,Yes,No,No,No,No Info,9092587,No,Yes,No,3,Medium,0,10,0.8,No,24,1,Plateau,0 to 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,Company298,Failed,2009,5,-8,Social Video Marketing Platform,Analytics|Advertising,media,Joe Morgan|Ernest Hodge,3,1,No,11/20/2009,8/5/2011,250000,United States,North America,0,2,2,0,3,4,No,0,Nothing,No,Large,Yes,Yes,No,Yes,Service,No,no,No,no,No,Platform,local,Non-Linear,No,None,No,No,No,No,No,No,No,No,No,Yes,Online,B2B,Low,Medium,No,Medium,PhD,25,physics,Yes,No,Tier_1,90,Medium,0,0,0,None,0,None,25,Low,Low,Yes,No,Low,No Info,No,No,No,No,No,No,No Info,14539082,No,Yes,No,3,Medium,0,1,0.25,Not Applicable,22,22,Trigger,2 to 5,11.76470588,0,5.882352941,52.94117647,0,0,23.52941176,5.882352941,0,0,0,0,0,0,4
298,Company299,Success,2011,3,13,promotions optimization for ecommerce,E-Commerce|Analytics|Advertising|Enterprise Software,sales,AngelPad|Data Collective,0,1,No,1/1/2011,10/1/2011,250000,United States,North America,1,0,2,0,2,10,No,0,low,No,Large,Yes,Yes,No,Yes,Product,No,no,No,no,No,Platform,local,Non-Linear,Yes,None,No,No,No,No,No,No,No,No,No,Yes,Online,B2C,Low,Medium,No,Low,Masters,21,engg,Yes,Yes,Tier_1,500,Medium,0,0,0,None,0,None,8,Low,Medium,No,No,Low,No Info,No,No,No,No,No,No,No Info,No Info,Yes,Yes,Yes,4,High,0,5,0.25,Not Applicable,1,1,Plateau,0 to 2,0,0,55.20833333,16.66666667,0,0,11.45833333,8.333333333,8.333333333,0,0,0,0,0,8
302,Company303,Success,2010,4,-10,Social curation & commerce,E-Commerce|Analytics|Network / Hosting / Infrastructure,social commerce,New York Angels,3,1,No,2/5/2010,10/11/2011,1320384,United States,North America,0,0,2,0,2,3,No,0,low,No,Medium,Yes,Yes,No,Yes,Service,Yes,no,No,no,No,none,GLOBAL,Linear,No,None,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Online,B2B,Low,High,Yes,Low,Masters,21,MGMT,Yes,Yes,Both,500,High,1,1,1,Medium,148,Many,31,Low,Low,No,No,Low,No Info,No,No,No,No,No,Yes,No Info,816385,Yes,Yes,No,2,Low,0,1,1.320384,Not Applicable,22,22,Plateau,0 to 2,6.25,12.5,0,6.25,0,0,0,0,25,0,0,0,37.5,12.5,4
304,Company305,Success,2010,4,92,Display Advertising Platform,Analytics|Advertising|Mobile,analytics,iNovia Capital|Greycroft Partners|Neu Venture Capital|Brian S. Cohen|Phil Grieshaber|John Taysom|Justin Siegel|Jeffrey Silverman|Jerry Newman,8,33,No,5/5/2010,2/10/2012,1530000,United States,North America,0,1,2,0,3,50,Yes,0,low,No,Medium,Yes,Yes,No,No,Service,Yes,Public,No,Both,Yes,Both,GLOBAL,Linear,Yes,None,No,Yes,No,No,Yes,No,Yes,No,No,No,Online,B2B,Low,High,Yes,Medium,Bachelors,18,MGM,Yes,Yes,Both,500,High,1,1,1,Medium,0,Many,35,Low,Low,No,No,Medium,No Info,No,No,No,No,No,Yes,No Info,816385,Yes,No,No,3,Medium,0,16.6,1.53,Not Applicable,12,4.75,Slope,2 to 5,2.777777778,0,8.333333333,27.77777778,0,5.555555556,2.777777778,0,0,2.777777778,0,0,0,0,5
307,Company308,Success,2010,4,-16,Delivering Return on Social,E-Commerce|Analytics|Marketing,social media marketing,GSV Capital,6,0,No,11/1/2010,4/12/2012,2669209,United States,North America,0,2,2,0,4,15,Yes,1,medium,No,Medium,Yes,Yes,No,No,Product,No,Public,No,Structured,Yes,Both,GLOBAL,Non-Linear,Yes,Few,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Online,B2B,Low,Medium,Yes,Low,PhD,25,TECH,Yes,Yes,Both,500,High,1,1,1,Medium,0,None,44,High,Low,No,Yes,Low,No Info,No,No,No,No,No,No,Low,No Info,No,No,No,3,Medium,0,5,2.669209,Not Applicable,5,2.266666667,Plateau,0 to 2,0,0,0,72.22222222,0,16.66666667,5.555555556,0,0,5.555555556,0,0,0,0,5
309,Company310,Success,2007,7,-173,In-game Payment Solutions,Advertising|Social Networking|Analytics|Gaming,operation,Steamboat Ventures|The Mail Room Fund|Greycroft Partners|Launchpad LA|AT&T,8,0,yes,9/1/2007,10/16/2009,4000000,United States,North America,0,0,2,1,6,50,Yes,3,medium,No,Medium,Yes,Yes,No,No,Product,Yes,Both,Yes,Both,Yes,none,GLOBAL,Non-Linear,No,Few,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Online,B2B,Medium,Low,Yes,Low,Masters,21,management,Yes,Yes,Tier_1,500,Low,0,0,0,None,200,None,35,High,Low,No,No,Medium,No Info,No,No,Yes,No,No,Yes,Low,1336317,No,Yes,No,4,Medium,2,8.3,4,Yes,9,5.777777778,Peak,2 to 5,11.76470588,0,11.76470588,11.76470588,5.882352941,5.882352941,29.41176471,0,11.76470588,11.76470588,0,0,0,0,6
310,Company311,Success,2009,5,110,Big Data Solutions,Cloud Computing|Social Networking|Analytics,social network,Stage One Capital|Mercury Fund|ff Venture Capital|Dundee Venture Capital|MFI Capital,39,8,Yes,7/14/2009,6/4/2013,595000,United States,North America,0,1,3,1,5,50,Yes,1,low,No,Medium,Yes,Yes,No,No,Product,Yes,Both,Yes,Both,Yes,none,GLOBAL,Non-Linear,Yes,Few,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Online,B2B,Medium,Medium,Yes,Medium,Masters,21,management,No,No,Both,500,High,0,0,0,None,173,None,28,Low,Low,No,No,Low,No Info,No,No,No,No,No,No,Low,157602,No,Yes,No,3,Medium,4,12.5,0.595,Not Applicable,1,5.522222222,Peak,2 to 5,6.637989204,6.25,50.78391681,3.947368421,4.714912281,11.5022426,10.13286894,1.315789474,3.399122807,0,0,0,0,1.315789474,9
313,Company314,Success,2005,9,75,location intelligence solutions,Analytics|Government,global,Chart Venture Partners|In-Q-Tel|New Markets Venture Partners|Walker Ventures|The New Markets Growth Fund,4,0,No,7/7/2005,8/26/2010,5500000,United States,North America,0,0,2,0,4,No Info,No Info,1,low,No,Medium,Yes,Yes,No,No,Service,Yes,Both,No,Both,Yes,none,LOCAL,Non-Linear,No,None,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Online,B2B,Medium,High,Yes,Low,Masters,21,technology,No,No,None,500,Low,0,0,0,None,150,None,6,Low,Low,No,No,Medium,No Info,No,No,No,No,No,No,Low,786526,Yes,Yes,No,3,Low,0,No Info,5.5,Yes,48,20.91111111,Trigger,2 to 5,6.666666667,18.18181818,11.21212121,11.21212121,0,16.66666667,16.96969697,3.333333333,4.545454545,11.21212121,0,0,0,0,5
314,Company315,Success,2005,9,-14,Web Site Testing & Personalization,Analytics,\,Gemini Israel ventures|Carmel Ventures|Viola Group,4,0,No,5/15/2005,10/5/2011,7400000,United States,North America,0,0,2,0,6,40,No,0,low,No,Small,Yes,Yes,No,Yes,Service,Yes,Public,No,Structured,Yes,Both,GLOBAL,Non-Linear,Yes,None,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Online,B2B,Low,High,Yes,Low,Masters,21,MGMT,Yes,No,None,500,High,0,0,0,None,150,None,28,Medium,Low,No,No,Medium,No Info,No,No,No,No,No,No,Low,5835588,No,Yes,No,3,High,2,5,7.4,Yes,6,23.36666667,Trigger,2 to 5,11.76470588,0,41.17647059,11.76470588,0,0,17.64705882,5.882352941,5.882352941,5.882352941,0,0,0,0,5
316,Company317,Success,2005,9,327,Music Intelligence Company,Music|Search|Analytics,Music intelligece,Commonwealth Capital Ventures|Matrix Partners|Norwest Venture Partners|Jim Pallotta,83,2,Yes,7/14/2005,7/12/2012,17300000,United States,North America,0,0,2,3,7,65,Yes,0,medium,No,Small,No,No,No,Yes,Service,No,Public,No,no,Yes,Platform,global,Non-Linear,Yes,None,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Online,B2B,Medium,High,Yes,Low,PhD,25,PHD,Yes,Yes,Tier_1,500,Medium,0,0,0,None,1,None,15,High,Low,No,No,Low,No Info,No,No,No,Yes,No,No,No Info,54162,Yes,Yes,No,3,Medium,5,8.125,17.3,Yes,24,11.68333333,Trigger,2 to 5,3.333333333,3.333333333,23.33333333,0,0,26.66666667,0,0,0,10,0,0,0,0,2
